,ccode,cname,con_true,labour_true,libdem_true,other_true,con_est,labour_est,libdem_est,other_est,winner,predicted_winner,correct
411,E14000941,South Norfolk,58.0276565551758,23.9789390563965,13.9939832687378,3.99942398071289,31.6462585657142,14.0666270085597,13.9411287765225,16.5971630392351,con,con,1
412,E14000942,South Northamptonshire,62.4065856933594,20.9152870178223,11.7938060760498,4.88431876897812,33.5067483417471,12.5593489265922,15.6625038800238,13.7026334115519,con,con,1
413,E14000943,South Ribble,55.8307304382324,35.0085525512695,6.91655492782593,2.24416184425354,43.9144283149075,15.9455678985464,9.1282084898932,9.90358053503726,con,con,1
414,E14000944,South Shields,20.2945995330811,45.596851348877,3.99662113189697,30.1119267940521,28.5807253845403,24.9468442983101,7.27203418836366,15.6508111692689,labour,con,0
415,E14000945,South Staffordshire,73.0326919555664,16.5383453369141,6.55934429168701,3.8696129322052,38.0909770260594,12.6186442432825,11.9478100691212,13.2292900367243,con,con,1
416,E14000946,South Suffolk,62.19970703125,19.3927726745605,12.5296783447266,5.87784385681152,38.4982216874396,18.9234560033042,11.4259744646047,10.6333353253829,con,con,1
417,E14000947,South Swindon,52.291805267334,39.2365913391113,8.47160339355469,0.0,30.1434427407205,20.2381239737979,11.7186018860905,12.8989768401253,con,con,1
418,E14000948,South Thanet,56.1245040893555,34.1857147216797,5.65099382400513,4.03879261016846,32.8915276408,24.3810432958321,9.28084166027026,11.8311660738066,con,con,1
419,E14000949,South West Bedfordshire,60.4273376464844,25.5669975280762,10.1956586837769,3.81000590324402,33.4952407251031,16.3146119977583,13.2581552937581,12.5617238890633,con,con,1
420,E14000950,South West Devon,62.3718795776367,22.2159767150879,11.6307830810547,3.78136301040649,39.9814657145504,15.7703166347194,10.9765094937638,11.0879453592918,con,con,1
421,E14000951,South West Hertfordshire,49.5612106323242,11.8121948242188,10.2155542373657,28.4110417366028,26.7284544865774,15.636395586986,22.0628096663745,13.6811517724265,con,con,1
422,E14000952,South West Norfolk,68.9911804199219,18.0934982299805,8.09466457366943,4.82065832614899,33.7292523224676,14.2783245062814,12.5058589106645,13.3588842240404,con,con,1
423,E14000953,South West Surrey,53.3493499755859,7.91349029541016,38.7371559143066,0.0,38.3901435749968,10.6779821199154,19.1248858651973,11.1147074047958,con,con,1
424,E14000954,South West Wiltshire,60.1839904785156,20.7814922332764,14.6006021499634,4.43391895294189,35.9886671224566,17.4513651165723,11.9625014076882,11.4145463943773,con,con,1
